class_session_key,class_base_key,class_title_base,class_datetime_text,class_date,weekday_text,start_datetime_iso,end_datetime_iso,start_hour,duration_minutes,schedule_parse_status,schedule_needs_review,organizer_studio_key,actual_location_key,actual_location_display_name,actual_location_address,normalized_studio_key,display_name,address,latitude,longitude,needs_manual_verification,location_match_status,location_from_class_detail,movement_type,location_evidence_text,location_evidence_status,location_evidence_match_type,reservation_count,cancellation_count,net_reservation_count,review_count,reservation_hype,review_hype,satisfaction_hype,operations_stability,active_reservation_rows,active_people_count,unique_participant_count,cancellation_rows,cancelled_people_count
마이트리하타_20260421T0700,마이트리하타,[마이트리] 하타,4.21 (화) 07:00-08:00,2026-04-21,화,2026-04-21T07:00+09:00,2026-04-21T08:00+09:00,7,60,parsed,False,마이트리,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,46,27,19,0,95.18,20.48,,63.01,3,3,3,1,1
시이작숨쉬는테라피_20260421T0845,시이작숨쉬는테라피,[시이작]숨쉬는 테라피,4.21 (화) 08:45-09:45,2026-04-21,화,2026-04-21T08:45+09:00,2026-04-21T09:45+09:00,8,60,parsed,False,시이작,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,37.567493895799,126.928321014591,False,matched,True,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,13,7,6,2,55.42,85.54,100.0,65.0,4,4,4,2,2
빅블루요가호흡리커버리_20260421T1000,빅블루요가호흡리커버리,[빅블루요가] 호흡 리커버리,4.21 (화) 10:00-11:20,2026-04-21,화,2026-04-21T10:00+09:00,2026-04-21T11:20+09:00,10,80,parsed,False,빅블루요가,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,37.568792797424,126.930228568115,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,63,49,14,5,81.93,80.42,100.0,56.25,2,2,2,5,5
마인드플로우빈야사요가_20260421T1030,마인드플로우빈야사요가,[마인드플로우] 빈야사요가,4.21 (화) 10:30-11:30,2026-04-21,화,2026-04-21T10:30+09:00,2026-04-21T11:30+09:00,10,60,parsed,False,마인드플로우,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,37.577020515491,126.935853747155,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,110,57,53,6,99.4,76.5,99.0,65.87,6,6,5,1,1
숨명상센터향과소리로깨우는오감명상_20260421T1100,숨명상센터향과소리로깨우는오감명상,[숨명상센터] 향과 소리로 깨우는 오감명상,4.21 (화) 11:00-12:00,2026-04-21,화,2026-04-21T11:00+09:00,2026-04-21T12:00+09:00,11,60,parsed,False,숨명상센터,숨명상센터,숨 명상센터,서울특별시 서대문구 연희동 16-2 2층,숨명상센터,숨 명상센터,서울특별시 서대문구 연희동 16-2 2층,37.572092920342,126.93806774306,False,matched,True,studio_or_indoor,📍 장소 서울시 서대문구 연희동 16-2 2층.,matched_from_class_detail,address_without_city,11,3,8,1,67.47,62.35,100.0,78.57,5,5,5,1,1
마인드플로우빈야사요가_20260421T1830,마인드플로우빈야사요가,[마인드플로우] 빈야사요가,4.21 (화) 18:30-19:30,2026-04-21,화,2026-04-21T18:30+09:00,2026-04-21T19:30+09:00,18,60,parsed,False,마인드플로우,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,마인드플로우,마인드플로우,서울특별시 서대문구 연희로 224 3층,37.577020515491,126.935853747155,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 224 3층,matched_from_class_detail,address,110,57,53,6,99.4,76.5,99.0,65.87,1,1,1,0,0
시이작땀나는아쉬탕가_20260421T1830,시이작땀나는아쉬탕가,[시이작] 땀나는 아쉬탕가,4.21 (화) 18:30-19:30,2026-04-21,화,2026-04-21T18:30+09:00,2026-04-21T19:30+09:00,18,60,parsed,False,시이작,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,37.567493895799,126.928321014591,False,matched,True,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,35,20,15,2,85.54,68.38,100.0,63.64,2,4,2,1,1
마이트리얼라인요가_20260421T1900,마이트리얼라인요가,[마이트리] 얼라인 요가,4.21 (화) 19:00-20:00,2026-04-21,화,2026-04-21T19:00+09:00,2026-04-21T20:00+09:00,19,60,parsed,False,마이트리,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,마이트리,마이트리,서울특별시 서대문구 연희로 85 5층,37.565997558444,126.929894716912,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로 85 5층,matched_from_class_detail,address,22,12,10,1,73.49,55.12,100.0,64.71,2,2,2,0,0
빅블루요가정렬에센스_20260421T1930,빅블루요가정렬에센스,[빅블루요가] 정렬 에센스,4.21 (화) 19:30-20:40,2026-04-21,화,2026-04-21T19:30+09:00,2026-04-21T20:40+09:00,19,70,parsed,False,빅블루요가,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,빅블루요가,빅블루요가,서울특별시 서대문구 연희로15길 31 지층,37.568792797424,126.930228568115,False,matched,True,studio_or_indoor,📍 장소 서울 서대문구 연희로15길 31 지층,matched_from_class_detail,address,104,94,10,9,73.49,82.53,97.78,52.53,3,3,3,3,3
시이작땀나는하타_20260421T1950,시이작땀나는하타,[시이작] 땀나는 하타,4.21 (화) 19:50-20:50,2026-04-21,화,2026-04-21T19:50+09:00,2026-04-21T20:50+09:00,19,60,parsed,False,시이작,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,시이작,시이작,서울특별시 서대문구 연희로11나길 5 2층,37.567493895799,126.928321014591,False,matched,True,studio_or_indoor,📍 장소 연희로 11나길 5 2층 시이작,matched_from_class_detail,address_without_city,33,28,5,4,45.18,88.56,98.5,54.1,4,4,4,2,2
