platform,confirmed_mention_count,anonymous_source_count,youtube_view_count,youtube_like_count,youtube_comment_count,first_published_date,last_published_date,mention_share,viral_signal_note
naver_blog,58,32,0,0,0,2026-03-20,2026-05-16,0.9667,"Platform-level external viral signal, not Hype."
youtube,2,2,1808,8,1,2026-04-24,2026-04-24,0.0333,"Platform-level external viral signal, not Hype."
