origin_location_key,origin_display_name,origin_latitude,origin_longitude,destination_location_key,destination_display_name,destination_latitude,destination_longitude,is_same_location,straight_distance_m,straight_distance_km,fallback_walk_distance_m,fallback_walk_minutes,osmnx_walk_distance_m,osmnx_walk_minutes,walk_distance_m,walk_minutes,walk_method,distance_quality_note,osmnx_status,walk_speed_kmph,fallback_route_factor,origin_needs_manual_verification,destination_needs_manual_verification
대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,마이트리,마이트리,37.565997558444,126.929894716912,False,551.96,0.552,717.55,8.97,755.11,9.44,755.11,9.44,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,마인드플로우,마인드플로우,37.577020515491,126.935853747155,False,924.39,0.924,1201.7,15.02,1208.27,15.1,1208.27,15.1,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,무릉,무릉,37.568813333087,126.927272103227,False,265.68,0.266,345.39,4.32,362.64,4.53,362.64,4.53,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,비전스트롤 콜라보,비전스트롤,37.567356642134,126.928486557178,False,392.88,0.393,510.74,6.38,473.93,5.92,473.93,5.92,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,빅블루요가,빅블루요가,37.568792797424,126.930228568115,False,265.09,0.265,344.62,4.31,269.08,3.36,269.08,3.36,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,숨명상센터,숨 명상센터,37.572092920342,126.93806774306,False,829.53,0.83,1078.39,13.48,1103.18,13.79,1103.18,13.79,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,시이작,시이작,37.567493895799,126.928321014591,False,378.93,0.379,492.61,6.16,435.81,5.45,435.81,5.45,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,연남장,연남장,37.564330104536,126.927584999673,False,736.14,0.736,956.98,11.96,970.95,12.14,970.95,12.14,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,연희정음,연희정음,37.566711570866,126.929277808838,False,465.82,0.466,605.57,7.57,569.28,7.12,569.28,7.12,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,파츄코파라다이스,파츄코파라다이스,37.566328308343,126.927201695241,False,525.13,0.525,682.67,8.53,664.72,8.31,664.72,8.31,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,너울너울,너울너울,37.565560190736,126.91602233188,False,1364.86,1.365,1774.32,22.18,1703.74,21.3,1703.74,21.3,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,False,418.22,0.418,543.69,6.8,431.11,5.39,431.11,5.39,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,마이트리,마이트리,37.565997558444,126.929894716912,False,223.38,0.223,290.39,3.63,393.56,4.92,393.56,4.92,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,마인드플로우,마인드플로우,37.577020515491,126.935853747155,False,1114.0,1.114,1448.2,18.1,1214.15,15.18,1214.15,15.18,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,무릉,무릉,37.568813333087,126.927272103227,False,374.5,0.374,486.85,6.09,459.86,5.75,459.86,5.75,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,비전스트롤 콜라보,비전스트롤,37.567356642134,126.928486557178,False,248.38,0.248,322.9,4.04,298.18,3.73,298.18,3.73,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,빅블루요가,빅블루요가,37.568792797424,126.930228568115,False,154.07,0.154,200.29,2.5,162.02,2.03,162.02,2.03,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,숨명상센터,숨 명상센터,37.572092920342,126.93806774306,False,773.92,0.774,1006.1,12.58,1036.16,12.95,1036.16,12.95,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,시이작,시이작,37.567493895799,126.928321014591,False,261.16,0.261,339.51,4.24,340.36,4.25,340.36,4.25,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,연남장,연남장,37.564330104536,126.927584999673,False,494.69,0.495,643.1,8.04,609.4,7.62,609.4,7.62,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,연희정음,연희정음,37.566711570866,126.929277808838,False,206.47,0.206,268.41,3.36,207.73,2.6,207.73,2.6,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,파츄코파라다이스,파츄코파라다이스,37.566328308343,126.927201695241,False,389.28,0.389,506.06,6.33,487.77,6.1,487.77,6.1,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마이트리,마이트리,37.565997558444,126.929894716912,너울너울,너울너울,37.565560190736,126.91602233188,False,1223.67,1.224,1590.77,19.88,1518.95,18.99,1518.95,18.99,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마이트리,마이트리,37.565997558444,126.929894716912,대저택프라이빗,바운드하우스,37.570882196338,126.928780175247,False,551.96,0.552,717.55,8.97,755.11,9.44,755.11,9.44,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마이트리,마이트리,37.565997558444,126.929894716912,데이스타콜라보,데이스타콜라보,37.567682614349,126.931274545813,False,223.38,0.223,290.39,3.63,393.56,4.92,393.56,4.92,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마이트리,마이트리,37.565997558444,126.929894716912,마이트리,마이트리,37.565997558444,126.929894716912,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마이트리,마이트리,37.565997558444,126.929894716912,마인드플로우,마인드플로우,37.577020515491,126.935853747155,False,1333.47,1.333,1733.52,21.67,1468.23,18.35,1468.23,18.35,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
마이트리,마이트리,37.565997558444,126.929894716912,무릉,무릉,37.568813333087,126.927272103227,False,389.18,0.389,505.94,6.32,586.41,7.33,586.41,7.33,osmnx_walk_network,OpenStreetMap walking network shortest path,success:graph_radius_m=2694:nodes=15256:edges=42270,4.8,1.3,False,False
