_hype_row_id,class_base_key,class_title_base,studio_key,reservation_count,reservation_records,pass_reservation_count,one_time_reservation_count,unknown_reservation_count,cancellation_count,cancellation_records,review_count,avg_overall_rating,avg_class_rating,avg_atmosphere_rating,avg_facility_rating,avg_visit_count,review_needs_review_count,instructor_tag_count,space_tag_count,atmosphere_tag_count,difficulty_tag_count,recovery_tag_count,revisit_intent_tag_count,net_reservation_count,cancellation_rate,review_rate_per_reservation,pass_reservation_share,one_time_reservation_share,participant_price_proxy_krw,reservation_hype,review_hype,satisfaction_hype,revisit_hype,payment_hype,operations_stability,price_proxy_note,hype_match_key,capacity_match_key,capacity_match_score,capacity_match_status,studio_key_capacity,class_title_capacity,capacity_session_count,total_reserved_count_capacity,total_capacity,avg_capacity,min_capacity,max_capacity,avg_fill_rate,median_fill_rate,sold_out_session_count,high_fill_session_count,low_fill_session_count,empty_session_count,capacity_needs_review_count,first_class_date,last_class_date,weighted_fill_rate,sold_out_session_share,high_fill_session_share,capacity_hype_segment
10,시이작땀나는아쉬탕가,[시이작] 땀나는 아쉬탕가,시이작,35,32,16,16,0,20,20,2,5.0,5.0,5.0,5.0,3.5,0,1,0,2,2,2,2,15,0.3636363636363636,0.0571428571428571,0.4571428571428571,0.4571428571428571,680000,85.54,68.38,100.0,78.57,89.76,63.64,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",시이작땀나는아쉬탕가,시이작땀나는아쉬탕가,100.0,exact_normalized,시이작,땀나는 아쉬탕가,9,35,36,4.0,4,4,0.9722222222222222,1.0,8,8,0,0,0,2026-04-21,2026-05-07,0.9722222222222222,0.8888888888888888,0.8888888888888888,expand_or_repeat_candidate
11,시이작땀나는하타,[시이작] 땀나는 하타,시이작,33,33,28,5,0,28,28,4,4.925,5.0,5.0,4.75,1.75,0,4,2,4,2,0,2,5,0.4590163934426229,0.1212121212121212,0.8484848484848485,0.1515151515151515,615000,45.18,88.56,98.5,35.71,84.94,54.1,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",시이작땀나는하타,시이작땀나는하타,100.0,exact_normalized,시이작,땀나는 하타,8,33,36,4.5,4,7,0.90625,1.0,7,7,1,0,0,2026-04-21,2026-05-07,0.9166666666666666,0.875,0.875,expand_or_repeat_candidate
12,연남장커뮤니티허브바람과땀그리고알아차림봄날의역동적명상,"[연남장|커뮤니티허브] 바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상",연남장,32,32,22,10,0,24,23,1,5.0,5.0,5.0,5.0,4.0,0,1,0,1,0,0,1,8,0.4285714285714285,0.03125,0.6875,0.3125,635000,67.47,50.91,100.0,83.67,86.14,57.14,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연남장바람과땀그리고알아차림봄날의역동적명상,연남장바람과땀그리고알아차림봄날의역동적명상,100.0,exact_normalized,연남장,"바람과 땀, 그리고 알아차림 - 봄날의 역동적 명상",1,30,30,30.0,30,30,1.0,1.0,1,1,0,0,0,2026-05-09,2026-05-09,1.0,1.0,1.0,small_capacity_or_niche_strength
13,너울너울소매틱뮤직handpandoodle,[너울너울] 소매틱뮤직 'Handpan Doodle',너울너울,30,30,23,7,0,25,25,3,5.0,5.0,5.0,5.0,3.333333333333333,0,2,2,3,1,0,2,5,0.4545454545454545,0.1,0.7666666666666667,0.2333333333333333,577500,45.18,81.62,100.0,76.53,78.31,54.55,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",너울너울소매틱뮤직HandpanDoodle,너울너울소매틱뮤직HandpanDoodle,100.0,exact_normalized,너울너울,소매틱뮤직 'Handpan Doodle',8,30,41,5.125,5,6,0.725,0.9,4,5,3,0,0,2026-04-22,2026-05-05,0.7317073170731707,0.5,0.625,steady_middle
14,연남장커뮤니티허브forrestyoga의움직임을기반으로내몸의바른사용법찾아가기,[연남장|커뮤니티허브] Forrestyoga의 움직임을 기반으로 내몸의 바른 사용법 찾아가기,연남장,30,28,15,13,0,16,15,1,4.0,4.0,5.0,3.0,3.0,0,0,1,1,0,0,0,14,0.3478260869565217,0.0333333333333333,0.5,0.4333333333333333,587500,81.93,51.81,80.0,68.37,81.33,65.22,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연남장Forrestyoga의움직임을기반으로내몸의바른사용법찾아가기,연남장Forrestyoga의움직임을기반으로내몸의바른사용법찾아가기,100.0,exact_normalized,연남장,Forrestyoga의 움직임을 기반으로 내몸의 바른 사용법 찾아가기,1,30,30,30.0,30,30,1.0,1.0,1,1,0,0,0,2026-04-26,2026-04-26,1.0,1.0,1.0,expand_or_repeat_candidate
15,연남장커뮤니티허브딥어웨이크하타,[연남장|커뮤니티허브] 딥어웨이크 하타,연남장,30,30,19,11,0,19,18,1,4.7,5.0,5.0,4.0,1.0,0,1,1,1,0,1,0,11,0.3877551020408163,0.0333333333333333,0.6333333333333333,0.3666666666666666,607500,77.11,51.81,94.0,12.24,83.73,61.22,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연남장딥어웨이크하타,연남장딥어웨이크하타,100.0,exact_normalized,연남장,딥어웨이크 하타,1,30,30,30.0,30,30,1.0,1.0,1,1,0,0,0,2026-05-09,2026-05-09,1.0,1.0,1.0,expand_or_repeat_candidate
16,연남장커뮤니티허브짠짠막걸리요가with복순도가,[연남장|커뮤니티허브] 짠짠! 막걸리요가! with 복순도가,연남장,30,27,13,14,0,13,13,0,,,,,,0,0,0,0,0,0,0,17,0.3023255813953488,0.0,0.4333333333333333,0.4666666666666667,577500,92.77,20.48,,,78.31,69.77,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연남장짠짠막걸리요가with복순도가,연남장짠짠막걸리요가with복순도가,100.0,exact_normalized,연남장,짠짠! 막걸리요가! with 복순도가,1,30,30,30.0,30,30,1.0,1.0,1,1,0,0,0,2026-05-05,2026-05-05,1.0,1.0,1.0,expand_or_repeat_candidate
17,연남장커뮤니티허브하루를내려놓는요가와바이올린,[연남장|커뮤니티허브] 하루를 내려놓는 요가와 바이올린,연남장,30,28,16,12,0,11,11,0,,,,,,0,0,0,0,0,0,0,19,0.2682926829268293,0.0,0.5333333333333333,0.4,580000,95.18,20.48,,,80.12,73.17,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연남장하루를내려놓는요가와바이올린,연남장하루를내려놓는요가와바이올린,100.0,exact_normalized,연남장,하루를 내려놓는 요가와 바이올린,1,30,30,30.0,30,30,1.0,1.0,1,1,0,0,0,2026-05-09,2026-05-09,1.0,1.0,1.0,expand_or_repeat_candidate
18,연남장커뮤니티허브처음이라좋은아쉬탕가with베지어트,[연남장|커뮤니티허브] 처음이라 좋은 아쉬탕가 with 베지어트,연남장,28,27,15,12,0,13,12,5,5.0,5.0,5.0,5.0,2.0,0,2,5,5,1,1,0,15,0.3170731707317073,0.1785714285714285,0.5357142857142857,0.4285714285714285,562500,85.54,94.88,100.0,45.92,76.51,68.29,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연남장처음이라좋은아쉬탕가with베지어트,연남장처음이라좋은아쉬탕가with베지어트,100.0,exact_normalized,연남장,처음이라 좋은 아쉬탕가 with 베지어트,1,28,28,28.0,28,28,1.0,1.0,1,1,0,0,0,2026-04-26,2026-04-26,1.0,1.0,1.0,expand_or_repeat_candidate
19,연남장커뮤니티허브마인드풀니스테라피요가아카샤은채,[연남장|커뮤니티허브] 마인드풀니스 테라피 요가 (아카샤(은채)),연남장,28,28,14,14,0,13,12,0,,,,,,0,0,0,0,0,0,0,15,0.3170731707317073,0.0,0.5,0.5,595000,85.54,20.48,,,82.53,68.29,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연남장마인드풀니스테라피요가,연남장마인드풀니스테라피요가,100.0,exact_normalized,연남장,마인드풀니스 테라피 요가 (아카샤(은채)),1,28,28,28.0,28,28,1.0,1.0,1,1,0,0,0,2026-04-26,2026-04-26,1.0,1.0,1.0,expand_or_repeat_candidate
20,연남장커뮤니티허브매트필라테스로부상없는몸만들기,[연남장|커뮤니티허브] 매트 필라테스로 부상 없는 몸 만들기,연남장,28,26,16,10,0,12,12,0,,,,,,0,0,0,0,0,0,0,16,0.3,0.0,0.5714285714285714,0.3571428571428571,530000,89.76,20.48,,,74.7,70.0,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연남장매트필라테스로부상없는몸만들기,연남장매트필라테스로부상없는몸만들기,100.0,exact_normalized,연남장,매트 필라테스로 부상 없는 몸 만들기,1,24,30,30.0,30,30,0.8,0.8,0,1,0,0,0,2026-05-09,2026-05-09,0.8,0.0,1.0,steady_middle
21,연남장커뮤니티허브being감각을깨우는하타요가,[연남장|커뮤니티허브] Being 감각을 깨우는 하타요가,연남장,27,26,16,10,0,18,18,2,4.65,5.0,4.5,4.5,5.0,0,2,2,1,0,0,0,9,0.4,0.074074074074074,0.5925925925925926,0.3703703703703703,530000,70.48,71.69,93.0,90.82,74.7,60.0,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",연남장Being감각을깨우는하타요가,연남장Being감각을깨우는하타요가,100.0,exact_normalized,연남장,Being 감각을 깨우는 하타요가,1,27,28,28.0,28,28,0.9643,0.9643,0,1,0,0,0,2026-05-05,2026-05-05,0.9642857142857143,0.0,1.0,expand_or_repeat_candidate
22,시이작다독이는인요가,[시이작] 다독이는 인요가,시이작,25,25,20,5,0,23,23,1,5.0,5.0,5.0,5.0,1.0,0,0,1,1,0,1,0,2,0.4791666666666667,0.04,0.8,0.2,475000,22.89,53.31,100.0,12.24,71.69,52.08,"1회권은 25,000원, 패스 예약은 회당 단가 후보의 중간값 17,500원으로 계산한 참가자 결제 반응 추정 지표",시이작다독이는인요가,시이작다독이는인요가,100.0,exact_normalized,시이작,다독이는 인요가,7,25,28,4.0,4,4,0.8928571428571429,1.0,4,4,0,0,0,2026-04-22,2026-05-09,0.8928571428571429,0.5714285714285714,0.5714285714285714,small_capacity_or_niche_strength
