page_title,page_url,page_id,expected_role,block_text_count,character_count,detected_themes,public_use_policy
연희요가위크,https://brass-purple-cac.notion.site/319b1f579ad980a2888ccafeee717a98,319b1f57-9ad9-80a2-888c-cafeee717a98,행사 기획안/대외 메시지 후보,63,740,"공간_동선, 기타, 운영_크루_매뉴얼, 참여_브랜드_파트너, 프로그램_구성, 행사_기획_의도",summary_ok_full_text_requires_review
연희요가위크 크루매뉴얼,https://brass-purple-cac.notion.site/346b1f579ad9805ebc74ea94cf0b96c8,346b1f57-9ad9-805e-bc74-ea94cf0b96c8,크루 운영 매뉴얼/경험 설계 근거,117,1858,"공간_동선, 기타, 대외_커뮤니케이션, 운영_크루_매뉴얼, 참여_브랜드_파트너, 프로그램_구성, 행사_기획_의도",summary_ok_full_text_requires_review
