source_file,source_line,class_date,day_number,start_time,end_time,location_text,class_title_text,class_title_without_teacher,teacher_text,reserved_count,capacity,fill_rate,raw_entry,raw_count_text,needs_review
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,121,2026-04-22,22,10:30,11:30,마인드플로우,하타요가 (유미),하타요가,유미,5,10,0.5,10:30-11:30 [마인드플로우] 하타요가 (유미),5|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,123,2026-04-22,22,11:50,12:50,마이트리,빈야사 (성욱),빈야사,성욱,3,5,0.6,11:50-12:50 [마이트리] 빈야사 (성욱),3|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,125,2026-04-22,22,12:00,13:00,시이작,숨쉬는 테라피 (수인),숨쉬는 테라피,수인,2,4,0.5,12:00-13:00 [시이작] 숨쉬는 테라피 (수인),2|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,127,2026-04-22,22,13:30,15:00,마이트리,하타 집중 (지바나),하타 집중,지바나,4,5,0.8,13:30-15:00 [마이트리] 하타 집중 (지바나),4|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,129,2026-04-22,22,18:30,19:30,마인드플로우,움직임명상 (유미),움직임명상,유미,0,10,0.0,18:30-19:30 [마인드플로우] 움직임명상 (유미),0|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,131,2026-04-22,22,18:30,19:30,시이작,깨어나는 빈야사 (예진),깨어나는 빈야사,예진,2,4,0.5,18:30-19:30 [시이작] 깨어나는 빈야사 (예진),2|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,133,2026-04-22,22,19:00,20:00,너울너울,소매틱뮤직 'Handpan Doodle' (미지수),소매틱뮤직 'Handpan Doodle',미지수,5,5,1.0,19:00-20:00 [너울너울] 소매틱뮤직 'Handpan Doodle' (미지수),5|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,135,2026-04-22,22,19:00,20:00,마이트리,하타 (연우),하타,연우,5,5,1.0,19:00-20:00 [마이트리] 하타 (연우),5|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,137,2026-04-22,22,19:30,20:40,빅블루요가,호흡 리커버리 (환),호흡 리커버리,환,2,5,0.4,19:30-20:40 [빅블루요가] 호흡 리커버리 (환),2|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,139,2026-04-22,22,19:50,20:50,시이작,다독이는 인요가 (예진),다독이는 인요가,예진,3,4,0.75,19:50-20:50 [시이작] 다독이는 인요가 (예진),3|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,141,2026-04-22,22,20:00,21:00,마인드플로우,하타요가 (유미),하타요가,유미,2,10,0.2,20:00-21:00 [마인드플로우] 하타요가 (유미),2|10,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,143,2026-04-22,22,20:30,21:30,마이트리,아쉬탕가 (연우),아쉬탕가,연우,1,5,0.2,20:30-21:30 [마이트리] 아쉬탕가 (연우),1|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,147,2026-04-23,23,07:00,08:00,마이트리,빈야사 (성욱),빈야사,성욱,0,5,0.0,07:00-08:00 [마이트리] 빈야사 (성욱),0|5,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,149,2026-04-23,23,07:00,08:00,시이작,초급 빈야사 (준형),초급 빈야사,준형,4,4,1.0,07:00-08:00 [시이작] 초급 빈야사 (준형),4|4,False
onstudio_calendar_capacity_2026_yeonhui_yoga_week_2026-05-16.txt,151,2026-04-23,23,10:00,11:00,마이트리,하타베이직 (성욱),하타베이직,성욱,5,5,1.0,10:00-11:00 [마이트리] 하타베이직 (성욱),5|5,False
