calendar_source_line,calendar_class_date,calendar_start_time,calendar_end_time,calendar_location_text,calendar_class_title_text,calendar_teacher_text,calendar_reserved_count,calendar_capacity,calendar_fill_rate,drive_source_cell,drive_location_text,drive_class_title_text,drive_instructor_text,drive_capacity,match_score,match_status,capacity_difference,needs_review
139,2026-04-22,19:50,20:50,시이작,다독이는 인요가 (예진),예진,3,4,0.75,R16C3,시이작,다독이는 인요가(60분),예진,4,100.0,matched_same_capacity,0,False
141,2026-04-22,20:00,21:00,마인드플로우,하타요가 (유미),유미,2,10,0.2,R17C3,마인드플로우,하타요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
143,2026-04-22,20:30,21:30,마이트리,아쉬탕가 (연우),연우,1,5,0.2,R18C3,마이트리,아쉬탕가 (60분),연우 -정원5명,5,100.0,matched_same_capacity,0,False
147,2026-04-23,07:00,08:00,마이트리,빈야사 (성욱),성욱,0,5,0.0,R7C4,마이트리,빈야사 (60분),성욱 - 정원5명,5,100.0,matched_same_capacity,0,False
149,2026-04-23,07:00,08:00,시이작,초급 빈야사 (준형),준형,4,4,1.0,R6C4,시이작,초급 빈야사(60분),준형,4,100.0,matched_same_capacity,0,False
151,2026-04-23,10:00,11:00,마이트리,하타베이직 (성욱),성욱,5,5,1.0,R8C4,마이트리,하타베이직 (60분),성욱 -정원5명,5,100.0,matched_same_capacity,0,False
153,2026-04-23,10:00,11:00,빅블루요가,호흡 리커버리 (환),환,5,5,1.0,R9C4,빅블루요가,호흡 리커버리 (80분),환 (정원 5명),5,100.0,matched_same_capacity,0,False
155,2026-04-23,10:30,11:30,마인드플로우,빈야사요가 (보람),보람,6,10,0.6,R10C4,마인드플로우,빈야사요가(60분),보람 정원 10명,10,100.0,matched_same_capacity,0,False
157,2026-04-23,11:00,12:00,숨 명상센터,마음의 평온을 찾는 호흡명상 (수지),수지,3,8,0.375,,,,,,0.0,no_drive_candidate_same_time,,True
159,2026-04-23,12:00,13:00,시이작,땀나는 하타 (수인),수인,4,4,1.0,R11C4,시이작,땀나는 하타 (60분),수인,4,100.0,matched_same_capacity,0,False
161,2026-04-23,17:00,18:00,너울너울,소매틱뮤직 'Handpan Doodle' (미지수),미지수,2,5,0.4,R13C4,너울너울,"소매틱뮤직,‘Handpan Doodle’ (60분)",미지수,5,100.0,matched_same_capacity,0,False
163,2026-04-23,18:30,19:30,마인드플로우,빈야사요가 (유미),유미,5,10,0.5,R15C4,마인드플로우,빈야사요가(60분),유미 정원 10명,10,100.0,matched_same_capacity,0,False
165,2026-04-23,18:30,19:30,시이작,땀나는 빈야사 (준형),준형,4,4,1.0,R14C4,시이작,땀나는 빈야사(60분),준형,4,100.0,matched_same_capacity,0,False
167,2026-04-23,19:00,20:00,너울너울,소매틱뮤직 'Handpan Doodle' (미지수),미지수,2,5,0.4,R16C4,너울너울,"소매틱뮤직,‘Handpan Doodle’ (60분)",미지수,5,100.0,matched_same_capacity,0,False
169,2026-04-23,19:00,20:00,마이트리,테라피 (준아),준아,0,5,0.0,R18C4,마이트리,테라피 (60분),준아 -정원5명,5,100.0,matched_same_capacity,0,False
171,2026-04-23,19:30,20:30,숨명상센터,향과 소리로 깨우는 오감명상 (수지),수지,6,8,0.75,R19C4,숨명상센터,향과 소리로 깨우는 오감 명상 (60분),숨명상센터 수지 (정원 8명),8,89.8,matched_same_capacity,0,False
173,2026-04-23,19:30,20:40,빅블루요가,정렬 에센스 (환),환,4,5,0.8,R19C4,숨명상센터,향과 소리로 깨우는 오감 명상 (60분),숨명상센터 수지 (정원 8명),8,20.51,low_confidence_match,-3,True
175,2026-04-23,19:50,20:50,시이작,땀나는 아쉬탕가 (준형),준형,4,4,1.0,R20C4,시이작,땀나는 아쉬탕가(60분),준형,4,100.0,matched_same_capacity,0,False
177,2026-04-23,20:00,21:00,마인드플로우,비기너요가 (유미),유미,3,5,0.6,R21C4,마인드플로우,비기너요가(60분),유미 정원 10명,10,100.0,matched_capacity_mismatch,-5,True
179,2026-04-23,20:30,21:30,마이트리,빈야사 어드밴스 (준아),준아,2,5,0.4,R22C4,마이트리,빈야사 어드밴스(60분),준아 -정원5명,5,100.0,matched_same_capacity,0,False
